datetime,open,high,low,close,volume,float
2020-09-01,2.872,2.911,2.872,2.91,0.0,
2020-09-02,2.91,2.91,2.91,2.91,0.0,
2020-09-03,2.909,2.922,2.909,2.922,0.0,
2020-09-04,2.92,2.92,2.914,2.914,0.0,
2020-09-07,2.913,2.922,2.913,2.922,0.0,
2020-09-08,2.921,2.921,2.914,2.914,0.0,
2020-09-09,2.914,2.918,2.914,2.918,0.0,
2020-09-10,2.918,2.918,2.904,2.904,0.0,
2020-09-11,2.902,2.902,2.878,2.878,0.0,
2020-09-14,2.877,2.877,2.843,2.843,0.0,
2020-09-15,2.842,2.842,2.834,2.834,0.0,
2020-09-16,2.833,2.833,2.824,2.824,0.0,
2020-09-17,2.823,2.823,2.82,2.82,0.0,
2020-09-18,2.818,2.818,2.803,2.803,0.0,
2020-09-21,2.802,2.802,2.777,2.777,0.0,
2020-09-22,2.776,2.776,2.772,2.772,0.0,
2020-09-23,2.771,2.775,2.771,2.775,0.0,
2020-09-24,2.774,2.793,2.774,2.793,0.0,
2020-09-25,2.79,2.79,2.771,2.771,0.0,
2020-09-28,2.77,2.77,2.767,2.767,0.0,
2020-09-29,2.767,2.767,2.756,2.756,0.0,
2020-09-30,2.756,2.756,2.743,2.743,0.0,
2020-10-01,2.743,2.782,2.526,2.526,0.0,
2020-10-02,2.526,2.526,2.458,2.458,0.0,
2020-10-05,2.457,2.488,2.457,2.488,0.0,
2020-10-06,2.487,2.517,2.487,2.517,0.0,
2020-10-07,2.516,2.516,2.502,2.502,0.0,
2020-10-08,2.5,2.502,2.5,2.5,0.0,
2020-10-09,2.497,2.529,2.497,2.529,0.0,
2020-10-12,2.539,2.539,2.528,2.539,0.0,
2020-10-13,2.538,2.545,2.538,2.545,0.0,
2020-10-14,2.544,2.544,2.541,2.541,0.0,
2020-10-15,2.54,2.54,2.539,2.539,0.0,
2020-10-16,2.537,2.549,2.537,2.549,0.0,
2020-10-19,2.549,2.567,2.549,2.567,0.0,
2020-10-20,2.566,2.566,2.54,2.54,0.0,
2020-10-21,2.561,2.561,2.539,2.561,0.0,
2020-10-22,2.56,2.563,2.56,2.563,0.0,
2020-10-23,2.559,2.559,2.553,2.553,0.0,
2020-10-26,2.552,2.553,2.551,2.551,0.0,
2020-10-27,2.55,2.55,2.546,2.546,0.0,
2020-10-28,2.545,2.569,2.545,2.569,0.0,
2020-10-29,2.568,2.604,2.568,2.604,0.0,
2020-10-30,2.602,2.602,2.574,2.574,0.0,
2020-11-02,2.61,2.61,2.579,2.6,0.0,
2020-11-03,2.599,2.599,2.592,2.592,0.0,
2020-11-04,2.591,2.592,2.591,2.592,0.0,
2020-11-05,2.591,2.591,2.557,2.557,0.0,
2020-11-06,2.555,2.575,2.555,2.575,0.0,
2020-11-09,2.589,2.589,2.575,2.589,0.0,
2020-11-10,2.589,2.589,2.577,2.577,0.0,
2020-11-11,2.577,2.577,2.554,2.554,0.0,
2020-11-12,2.554,2.57,2.554,2.57,0.0,
2020-11-13,2.57,2.576,2.57,2.576,0.0,
2020-11-16,2.576,2.576,2.564,2.564,0.0,
2020-11-17,2.564,2.568,2.564,2.568,0.0,
2020-11-18,2.568,2.568,2.538,2.538,0.0,
2020-11-19,2.538,2.542,2.538,2.542,0.0,
2020-11-20,2.542,2.542,2.536,2.536,0.0,
2020-11-23,2.536,2.536,2.53,2.53,0.0,
2020-11-24,2.53,2.53,2.514,2.514,0.0,
2020-11-25,2.514,2.514,2.493,2.493,0.0,
2020-11-26,2.493,2.493,2.38,2.38,0.0,
2020-11-27,2.38,2.434,2.38,2.434,0.0,
2020-11-30,2.434,2.434,2.421,2.421,0.0,
